asin,title,author,stars,price,isKindleUnlimited,publishedDate,category_name
B0BGDDBD58,"Recovery from Narcissistic Abuse, Gaslighting, Codependency and Complex PTSD (4 Books in 1): Workbook and Guide to Overcome Trauma, Toxic Relationships, ... and Recover from Unhealthy Relationships)",Linda Hill,4.7,6.99,True,,Parenting & Relationships
B004MYFQ3Q,Love and Respect: The Love She Most Desires; The Respect He Desperately Needs,Emerson Eggerichs PhD,4.7,15.99,False,2004-09-05,Parenting & Relationships
B003OYIA9M,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures (FSG Classics)",Anne Fadiman,4.6,11.99,True,1998-09-30,Parenting & Relationships
B000FC0Q0C,I Don't Want to Talk About It: Overcoming the Secret Legacy of Male Depression,Terrence Real,4.6,14.99,False,1999-03-11,Parenting & Relationships
B0B9189Z8H,Made For You: A grumpy sunshine sports romance. (Made For Series 2),Natasha Madison,4.7,4.99,True,,Parenting & Relationships
B07TQHVNJH,In the Dream House: A Memoir,Carmen Maria Machado,4.5,9.99,True,2019-11-05,Parenting & Relationships
B001LOEFZU,Hold On to Your Kids: Why Parents Need to Matter More Than Peers,Gordon Neufeld,4.7,13.99,False,2008-11-19,Parenting & Relationships
B005GSZZ24,The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism,Olivia Fox Cabane,4.5,14.99,False,2012-03-29,Parenting & Relationships
B09SP4VV61,"The Witch's Tree: An unforgettable, heart-breaking, gripping timeslip novel",Elena Collins,4.6,2.99,True,2022-05-17,Parenting & Relationships
B0BLW6NR5Z,The Worry-Free Parent: Living in Confidence So Your Kids Can Too,Sissy Goff,5.0,9.99,False,2023-08-22,Parenting & Relationships
B005D1T6CO,BELIEVE LIKE A CHILD (Home Street Home Series Book 1),Paige Dearth,4.5,5.99,True,,Parenting & Relationships
B002JPGQ34,"Too Good to Leave, Too Bad to Stay: A Step-by-Step Guide to Help You Decide Whether to Stay In or Get Out of Your Relationship",Mira Kirshenbaum,4.5,14.99,False,1997-07-01,Parenting & Relationships
